,exp_id,timestamp,operator_id,gender,age,job,job_other,experience,product,task_clarity,sequence_intuitive,perceived_difficulty,perceived_time,perceived_difficulty_what,perceived_effort,comfortable,fatigue,fatigue_when,assured,danger,danger_when,efficency,instruments,fluidity,instruments_what,rating,pros,cons,comments_overall,time
0,lego_1,12/2/2025 19:01:14,1,M,C,Researcher,,None,lego,4,3.0,1,2_Adequate,"4, 9",1.0,5,No,,5,No,,4,5,5,,4,,,,153.44
1,car_2,12/2/2025 19:13:22,2,M,C,Other,AVVOCATO,1_Basic,car,4,5.0,2,1_Too long,ALETTONI LATERALI,1.0,5,No,NESSUNO,5,No,NESSUNO,5,5,4,,5,GLI STRUMENTI OFFERTI DAL RICERCATORE,NESSUNO,DA PROVARE,647.54
2,lego_3,12/15/2025 18:01:21,3,M,B,Student,,3_Advanced,lego,5,4.0,1,1_Too long,Ordinamento e divisione delle fasi di assemblaggio nel manuale non immediata,1.0,4,No,,5,No,,4,5,4,Pezzi in sequenza di assemblaggio,4,Facilità di unione delle singole componenti tra loro,Separazione migliore delle fasi di assemblaggio,,193.8
3,car_4,12/15/2025 22:30:53,4,M,A,Student,,None,car,5,5.0,2,2_Adequate,I pezzi sul lato ,1.0,4,No,,5,No,,5,5,4,,5,,,,268.76
4,lego_5,12/16/2025 15:51:32,5,M,C,Other,Sviluppatore software in ambito AI,1_Basic,lego,5,5.0,1,2_Adequate,,1.0,3,No,,5,No,,5,5,5,,5,,,,125.85
5,car_6,12/16/2025 16:29:40,6,M,C,Student,,2_Intermediate,car,5,5.0,1,2_Adequate,Trovare le viti della giusta lunghezza,1.0,4,No,,5,No,,4,4,4,,5,,,,210.9
6,lego_7,12/16/2025 17:10:32,7,M,B,Student,,2_Intermediate,lego,5,4.0,1,2_Adequate,,1.0,2,No,,5,No,,3,4,4,,4,,clusterizzazione pezzi consecutivi,,133.99
7,car_9,12/17/2025 14:45:17,9,M,B,Student,,3_Advanced,car,3,4.0,2,2_Adequate,Lateral bumpers,1.0,5,No,,4,No,,3,5,4,,3,,"Le istruzioni davano troppa libertà di scelta riguardo l'ordine di montaggio degli elementi. Sarebbe meglio avere delle istruzioni più sequenziali, ovvero che indicassero un procedimento sequenziale di montaggio.",,317.31
8,lego_16,2/6/2026 17:51:30,16,M,B,Student,,2_Intermediate,lego,4,4.0,1,2_Adequate,nessuno,1.0,4,No,,5,No,,4,5,5,una sedia,5,,,,131.49
9,car_17,2/6/2026 17:53:45,17,M,A,Student,,3_Advanced,car,3,5.0,2,2_Adequate,il posizionamento del motore,1.0,5,No,,5,No,,5,5,5,,5,l'assemblaggio in sè,,,180.52
10,car_19,2/6/2026 18:39:09,19,M,D,Engineer,,None,car,5,,2,2_Adequate,,1.0,3,No,,5,No,,5,5,5,,5,,,,295.08
11,lego_21,2/9/2026 16:46:35,21,M,B,Student,,1_Basic,lego,5,5.0,1,0_I don't know,Identificazione pezzi (colore poco accurato),1.0,3,No,Lettura dei colori dei blocchi,4,No,Piano appoggio troppo basso,3,5,3,"Migliore classificazione dei componenti (basata su codici, meno su aspetto)",4,Semplicità,Riconoscimento oggetti,,152.84
12,car_22,2/11/2026 15:41:53,22,M,B,Researcher,,2_Intermediate,car,3,3.0,2,2_Adequate,"le viti che si infilano sopra la carrozzeria, ma che hanno bisogno del fondo della macchina per essere fissate",2.0,3,No,,2,No,avevo paura di sbagliare,2,5,3,avere un ordine delle operazioni prestabilito,4,mi sono divertito a vedere la macchina assemblata alla fine,specificare ordine delle operazioni,,243.24
13,lego_20,2/11/2026 16:54:22,20,M,B,Student,,3_Advanced,lego,5,5.0,1,2_Adequate,,1.0,5,No,,5,No,,5,5,5,,5,Le istruzioni sequenziali sono sempre ottime da seguire.,,,88.16
14,car_23,2/12/2026 15:25:15,23,M,B,Student,,1_Basic,car,5,4.0,1,2_Adequate,Paraurti laterali,1.0,4,No,,5,No,,4,5,5,,5,,,,183.91
15,lego_24,2/12/2026 16:08:07,24,M,B,Student,,None,lego,4,5.0,1,2_Adequate,,1.0,2,No,,4,No,,4,5,4,,4,,,,99.51
16,lego_25,2/12/2026 16:43:50,25,M,B,Student,,2_Intermediate,lego,5,4.0,4,1_Too long,"la ricerca dei componenti giusti, in quanto non erano allineati",1.0,2,No,la postazione era troppo bassa,5,No,non ci sono stai,3,4,3,ordinare i componenti in ordine di assemblaggio,4,componenti semplici passaggi intuitivi,ordine dei componenti nella fase di assemblaggio,,111.91
17,lego_26,2/12/2026 17:47:08,26,F,C,Researcher,,None,lego,4,4.0,1,2_Adequate,Capire la corrispondenza istruzioni- pezzi fisici,1.0,2,No,,5,No,,3,5,4,,4,Pezzi già ordinati,Immagini delle istruzioni più precise,,166.59
18,lego_27,2/12/2026 18:21:43,27,F,B,Researcher,,1_Basic,lego,4,4.0,2,0_I don't know,,2.0,1,No,all'inizio,2,No,,3,4,2,,4,,,,138.36
19,lego_28,2/13/2026 11:43:01,28,M,C,Researcher,,2_Intermediate,lego,5,5.0,1,2_Adequate,,1.0,5,No,,5,No,,5,5,5,,5,,,,131.76
20,car_29,2/13/2026 12:08:34,29,M,B,Researcher,,1_Basic,car,4,3.0,2,1_Too long,gli alettoni laterali sono complessi da posizionare correttamente,1.0,2,No,nel ruotare la macchina per assemblare gli alettoni laterali,3,No,,2,5,3,forse un sostegno per tenere in posizione delle parti,4,molto intuitivo dove i pezzi dovessero essere posizionati infine,le istruzioni sono poco chiare su come gli alettoni laterali vengono ancorati alla struttura princiaple,,292.68
21,car_30,2/13/2026 15:42:15,30,M,B,Student,,1_Basic,car,3,4.0,2,2_Adequate,l'assemblaggio delle minigonne era meno intuitivo rispetto il resto ed è il punto in cui ho commesso un errore e ho dovuto smontare un attimo il modellino il resto era intuitivo,1.0,4,No,"le minigonne, non avendo prestato l'attenzione dovuta ho commesso un errore nel montaggio che ha forzato lo smontaggio del robot",2,No,con eccezione di mettersi in imbarazzo fallendo nel montare il modellino no nessuna,3,5,3,l' istruzione delle minigonne se messa alla fine renderebbe meno confusa l'assemblaggio,4,è relativamente semplice amche commettendo un errore smontare per resettare il tutto non è difficile,usare istruzioni più simili al ikea con più passsaggi ma più semplice forse renderebbe più facile il montaggio,,271.48
22,car_31,2/13/2026 16:14:32,31,M,B,Engineer,,2_Intermediate,car,5,4.0,4,2_Adequate,tenere assieme entrambe le viti laterali ancora non fissate,1.0,4,No,,5,No,,3,5,3,avrei potuto seguire un'altra sequenza di montaggio per migliorare l'efficienza,5,viti scorrevoli,,,163.8
23,car_46,2/23/2026 13:51:51,46,F,C,Researcher,,1_Basic,car,5,4.0,3,2_Adequate,para urti laterale,1.0,3,No,forse avrei preferito una sedia,5,No,nessuno,4,4,4,breve video 3d dell'assemblaggio,5,il test è stato chiaro e piuttosto divertente perchè non avevo mai montato una macchina con i lego,postura e breve video 3d dell'assemblaggio,nessuno ,372.4
24,car_48,2/23/2026 14:31:02,48,F,A,Student,,1_Basic,car,3,3.0,2,2_Adequate,paraurti laterali,1.0,1,Yes,mettere le ali laterali,5,No,,3,5,4,istruzioni migliori,4,,,,333.22
25,car_50,2/23/2026 14:47:48,50,M,A,Student,,2_Intermediate,car,4,4.0,3,2_Adequate,Aste laterali,1.0,3,No,montaggio aste laterali,4,No,,4,3,4,vista laterale,3,simmetria rispetto ordine montaggio,,,168.08
26,car_53,2/24/2026 12:16:21,53,M,A,Student,,None,car,4,3.0,2,2_Adequate,,1.0,5,No,,5,No,,3,5,3,Avere un foglio in cui si esplicita l'ordine con cui fare i vari passaggi,5,Le istruzioni venivano date attraverso le immagini ed erano visualizzate in maniera compatta,Spiegare in che ordine eseguire i passaggi,,543.31
27,car_60,2/24/2026 17:06:15,60,F,B,Researcher,,1_Basic,car,4,3.0,1,2_Adequate,Pensavo che la parte argento andasse dentro,1.0,3,No,Il tavolo era leggermente basso (ma io sono alta 1.82m),5,No,Nessuno,4,5,4,Numerare quali parti andrebbero montate prima (anche se non c'è una vera e propria sequenza),4,La distribuzione dei pezzi sul tavolo,"Forse il foglio dei componenti, li numererei","Perchè non un tavolo regolabile? Sarebbe utile, così da regolarlo in base all'altezza dell'operatore",260.82
28,car_64,2/24/2026 17:52:46,64,M,D,Other,,None,car,5,5.0,5,2_Adequate,,,5,No,,5,No,,5,5,5,,5,,,,228.93
29,car_66,2/25/2026 11:36:31,66,F,E,Other,Coordinatrice organizzativa festival di cinema,None,car,4,4.0,4,1_Too long,all'inizio  mi sembraa non si bloccassero il paraurti fronatle e l'alettone posteriore,1.0,5,No,tutto ok,5,No,potrebbero cadere dal tavolino le viti se non si sta attenti,5,5,4,"se ci fossero le varie fasi step by step con i numeri. 1 metti il motore, 2: metti l tettuccio....ecc",5,tutto divertente e soprattutto vedere la macchinina finita. ,dare istruzioni più in sequenza invece che tutto in unn unico disegno,vorrei assemblarne un'altra,426.12
30,lego_69,3/2/2026 14:33:52,69,F,A,Student,,1_Basic,lego,4,5.0,1,2_Adequate,,1.0,4,No,,5,No,,5,5,5,,5,,,,159.16
31,lego_71,3/2/2026 16:38:32,71,M,C,Researcher,,None,lego,5,5.0,1,1_Too short,,1.0,5,No,,5,No,,5,5,5,,5,,,,83.91
32,car_73,3/2/2026 17:31:33,73,M,A,Student,,1_Basic,car,4,4.0,2,0_I don't know,The lateral bumper,3.0,3,No,,5,No,,4,5,4,,4,,,,231.52
33,lego_73,3/2/2026 17:53:53,73,M,A,Student,,1_Basic,lego,4,5.0,1,2_Adequate,,1.0,4,No,,5,No,,5,5,5,,5,,,,132.91
34,car_75,3/3/2026 11:20:44,75,M,B,Researcher,,1_Basic,car,5,4.0,2,1_Too long,Assemblaggio dei lateral bumpers,1.0,5,No,/,5,No,/,4,5,4,Ripetere il procedimento più volte,5,"Istruzioni chiarissime, anche visivamente (non erano in bianco e nero, facilitando il riconoscimento dei singoli componenti). Componenti disposti ordinatamente sul tavolo prima dell'inizio dell'esperienza",/,/,221.91
35,car_76,3/3/2026 11:50:41,76,M,A,Student,,3_Advanced,car,5,5.0,2,2_Adequate,Capire come fissare le minigonne perché cercavo il buco per la vite sul fianco della macchina,1.0,5,No,,5,No,,5,5,5,,5,Le istruzioni erano chiare e intuitive e i pezzi ben separati e facilmente identificabili,,,177.95
36,car_77,3/4/2026 11:22:10,77,M,A,Student,,None,car,5,4.0,1,2_Adequate,Il motore interno,1.0,4,No,,5,No,,4,5,4,Elenco delle parti da cui partire nell'assemblaggio,5,La conclusione con i dettagli finali una volta che la macchina era pronta,Nessuno,,248.3
37,car_78,3/4/2026 12:20:40,78,M,A,Student,,3_Advanced,car,5,5.0,1,2_Adequate,capire che la parte davanti della carrozzeria fosse da avvitare sia con la parte sotto che con la scocca dell auto,1.0,4,No,,5,No,,4,5,5,nessuno,5,vedere il prodotto finale,per me nessuno,,196.26
38,car_79,3/4/2026 15:46:50,79,F,B,Other,assegnista,None,car,3,2.0,2,1_Too long,motore,2.0,2,No,,5,No,,4,5,2,guardare maggiormente la figura,4,a livello visivo le varie componenti con colori diversi,nessuno,foglio con elenco delle componenti non letto,416.88
39,car_80,3/4/2026 16:11:47,80,F,C,Researcher,,3_Advanced,car,3,1.0,3,2_Adequate,Montare gli alettoni laterali sotto alla macchina. E il cofano non si capiva se era giusto che continuasse ad aprirsi.,1.0,5,No,,5,No,,3,5,4,,3,Le viti si avvitavano bene e l'oggetto era leggero,Le istruzioni erano complicate da capire. Sarebbe stato meglio un libretto con i passaggi passo a passo per l'assemblaggio,,206.14
40,car_81,3/10/2026 15:32:52,81,M,A,Student,,None,car,4,3.0,1,1_Too long,l'inserimento dei pezzi laterali,1.0,4,No,,4,No,,4,5,4,,4,,Le istruzioni visuali non erano chiarissime,,437.4
41,car_82,3/10/2026 15:41:47,82,M,A,Student,,1_Basic,car,4,4.0,1,2_Adequate,capire quale fosse il miglior punto di partenza,1.0,3,No,nessun momento ma sul lungo periodo il montaggio in piedi può risultare affaticante per il collo,5,No,nessuno,5,5,4,,5,la semplicità di applicazione,,,236.1
42,car_83,3/10/2026 16:22:01,83,M,C,Researcher,,1_Basic,car,5,4.0,1,1_Too long,Assemblare le alette laterali,1.0,5,No,,5,No,,5,5,4,,5,,,,192.08
43,car_84,3/10/2026 16:27:54,84,F,C,Researcher,,None,car,5,5.0,1,2_Adequate,,1.0,5,No,,5,No,,4,5,4,,5,,,,216.58
44,car_86,3/10/2026 17:45:15,86,M,E,Researcher,,None,car,4,4.0,1,2_Adequate,,1.0,5,,,5,No,,4,5,5,,5,,,,291.0
